record_id,incident_date,year,month,city_municipality,barangay,latitude,longitude,flood_risk_level,flood_depth_meters,flood_category,flood_duration_hours,rainfall_mm,weather_condition,typhoon_name,typhoon_alert_level,affected_population,affected_families,evacuees,evacuation_center,fatalities,injuries,estimated_damage_php,infrastructure_damaged,relief_goods_distributed,response_time_hours,data_source
11,2021-03-15,2021,March,Navotas,North Bay Blvd South,14.652700000000001,120.9382,High,0.96,Waist-deep,66,313.6,Heavy Rain,Marce,Signal No. 4,6815,1847,1155,Navotas Sports Complex,0,0,8539418,Bridges,Yes,5.0,LGU Report
12,2006-04-15,2006,April,Valenzuela,Bisig,14.702,120.97959999999999,Very High,2.19,House-roof level,83,227.3,Monsoon Rains,None (Monsoon),None,3989,746,897,Valenzuela City Gymnasium,2,0,21298083,Bridges,No,11.9,MMDA
13,2017-12-27,2017,December,Valenzuela,Lawang Bato,14.7045,120.975,Very High,4.11,House-roof level,54,420.6,Scattered Showers,None (Monsoon),None,3304,771,497,Lingunan Elementary School,0,35,24765403,Bridges,Yes,14.1,DSWD
14,2002-09-25,2002,September,Valenzuela,Lingunan,14.707600000000001,120.9821,High,2.32,House-roof level,13,391.1,Continuous Rain,Kiko,Signal No. 1,610,135,127,Valenzuela City Gymnasium,0,21,3146893,Bridges and Roads,Yes,14.1,NDRRMC
15,2003-09-05,2003,September,Valenzuela,Punturin,14.7126,120.9833,High,1.43,Chest-deep,80,131.7,Continuous Rain,None (Monsoon),None,4830,899,941,Lawang Bato Covered Court,0,6,5261376,Roads,Yes,11.3,DSWD
16,2004-06-26,2004,June,Valenzuela,Parada,14.699,120.9797,High,0.5,Waist-deep,33,402.3,Scattered Showers,None (Monsoon),None,4344,809,600,Lawang Bato Covered Court,0,1,2989473,None,Yes,16.2,DSWD
17,2013-06-06,2013,June,Marikina,Tumana,14.6566,121.1047,Very High,4.23,House-roof level,38,405.9,Continuous Rain,None (Monsoon),None,7891,1958,3262,Calumpang Elementary School,2,21,30281185,Roads and Homes,No,21.8,NDRRMC
18,2004-02-21,2004,February,Marikina,Calumpang,14.6486,121.1035,Very High,3.04,House-roof level,82,304.8,Monsoon Rains,Ursula,Signal No. 4,561,111,84,Marikina City Hall Gymnasium,0,30,3864889,Homes,Yes,10.6,NDRRMC
19,2013-10-29,2013,October,Marikina,Concepcion Dos,14.662199999999999,121.10950000000001,Very High,1.96,Neck-deep,22,316.8,Monsoon Rains,Kiko,Signal No. 4,7563,1554,1946,Tumana Elementary School,0,7,33044670,Roads and Homes,Yes,4.7,PAGASA
20,2018-06-20,2018,June,Marikina,Industrial Valley,14.653699999999999,121.1121,High,2.47,House-roof level,37,203.0,Continuous Rain,Nonoy,Signal No. 2,2385,486,274,Marikina City Hall Gymnasium,0,7,5571937,Homes,Yes,23.2,PAGASA
21,2015-10-02,2015,October,Marikina,Nangka,14.6704,121.1077,High,2.03,House-roof level,57,425.7,Monsoon Rains,Rolly,Signal No. 2,5766,1261,1705,Calumpang Elementary School,2,13,13945011,Bridges and Roads,Yes,9.6,DSWD
22,2008-07-11,2008,July,Marikina,Fortune,14.6726,121.1098,High,0.99,Waist-deep,96,265.4,Continuous Rain,None (Monsoon),None,3772,704,303,Calumpang Elementary School,0,6,2389743,Homes,Yes,17.4,PAGASA
23,2022-09-30,2022,September,Pasig,Pinagbuhatan,14.560799999999999,121.10279999999999,Very High,1.74,Neck-deep,116,100.9,Monsoon Rains,Marce,Signal No. 2,2872,701,777,Ugong Elementary School,0,17,10831356,Bridges and Roads,No,11.4,LGU Report
24,2009-08-02,2009,August,Pasig,Bambang,14.559099999999999,121.0994,Very High,2.54,House-roof level,55,303.2,Continuous Rain,Queenie,Signal No. 3,5597,1235,981,Bambang Elementary School,1,7,35084206,Roads and Homes,No,21.3,DSWD
25,2008-09-20,2008,September,Pasig,Ugong,14.563600000000001,121.0707,High,2.24,House-roof level,55,325.0,Heavy Rain,None (Monsoon),None,4249,1119,713,Pasig Sports Center,0,22,14618475,Roads,No,3.6,LGU Report
26,2023-10-29,2023,October,Pasig,Dela Paz,14.5741,121.0822,High,2.97,House-roof level,82,295.1,Monsoon Rains,None (Monsoon),None,2799,529,808,Pasig Sports Center,0,28,6802683,Bridges,No,18.5,DSWD
27,2021-09-26,2021,September,Pasig,Palatiw,14.5614,121.101,High,1.99,Neck-deep,41,158.7,Continuous Rain,Kiko,Signal No. 1,3803,934,369,Bambang Elementary School,0,4,14476302,Bridges and Roads,No,10.3,MMDA
28,2018-11-05,2018,November,Quezon City,Batasan Hills,14.6898,121.1135,High,1.35,Chest-deep,80,356.2,Scattered Showers,Ondoy,Signal No. 3,7950,1524,1852,Payatas Elementary School Covered Court,0,13,24505335,None,Yes,12.0,PAGASA
29,2019-07-20,2019,July,Quezon City,Commonwealth,14.6815,121.10810000000001,High,1.61,Neck-deep,55,339.7,Continuous Rain,None (Monsoon),None,2953,579,670,QC Sports Club,0,12,8005272,Roads and Homes,Yes,20.9,MMDA
30,2002-04-03,2002,April,Quezon City,Payatas,14.7225,121.1187,High,1.0,Chest-deep,47,401.9,Heavy Rain,Marce,Signal No. 3,1933,462,348,Payatas Elementary School Covered Court,0,0,3862227,Bridges,Yes,18.9,NDRRMC
31,2001-05-23,2001,May,Quezon City,Bagong Silangan,14.7017,121.13050000000001,Moderate,1.43,Chest-deep,14,100.5,Monsoon Rains,None (Monsoon),None,7074,1859,229,Batasan Hills National High School Gym,0,7,19209233,Bridges and Roads,Yes,18.8,MMDA
32,2013-12-14,2013,December,Quezon City,Novaliches Proper,14.734,121.0238,Moderate,0.25,Knee-deep,3,433.3,Heavy Rain,Ursula,Signal No. 2,7809,1608,526,QC Sports Club,0,2,4219091,Homes,Yes,19.2,DSWD
33,2001-11-03,2001,November,Manila,Tondo,14.6197,120.9676,Very High,1.89,Neck-deep,121,186.5,Typhoon,None (Monsoon),None,5619,1245,1467,Tondo Sports Complex,0,11,18809668,Roads and Homes,Yes,17.7,PAGASA
34,2024-02-21,2024,February,Manila,Binondo,14.5988,120.9733,High,2.39,House-roof level,65,178.9,Typhoon,Ulysses,Signal No. 3,3768,804,985,Pandacan Elementary School,0,18,15495468,Homes,Yes,12.0,PAGASA
35,2011-08-03,2011,August,Manila,Pandacan,14.5876,121.0051,Very High,1.86,Neck-deep,164,256.7,Typhoon,Queenie,Signal No. 4,5944,1288,2461,Binondo Elementary School,0,15,19809918,Roads,No,5.7,MMDA
36,2013-09-25,2013,September,Manila,Sta. Ana,14.5741,121.0094,High,2.09,House-roof level,53,448.7,Scattered Showers,Tonyo,Signal No. 4,4076,973,822,Sta. Ana Covered Court,0,3,16548431,None,Yes,5.0,LGU Report
37,2012-05-27,2012,May,Manila,San Andres Bukid,14.5813,120.9993,High,2.26,House-roof level,73,127.6,Heavy Rain,Pepito,Signal No. 3,5088,1374,723,Binondo Elementary School,0,1,28156040,Bridges,No,2.9,NDRRMC
38,2012-10-02,2012,October,Caloocan,Bagong Barrio,14.671800000000001,120.9887,High,1.57,Neck-deep,62,426.4,Typhoon,Ulysses,Signal No. 4,2991,830,360,Caloocan City Gymnasium,0,1,3772915,Roads,Yes,3.3,LGU Report
39,2010-02-14,2010,February,Caloocan,Grace Park,14.658399999999999,120.9826,High,2.39,House-roof level,54,285.4,Monsoon Rains,Quedan,Signal No. 1,3890,950,1088,Caloocan City Gymnasium,0,6,16279501,Bridges,Yes,13.5,MMDA
40,2000-02-13,2000,February,Caloocan,Camarin,14.7347,121.0129,Moderate,0.67,Waist-deep,46,165.2,Continuous Rain,Nonoy,Signal No. 1,5064,1420,437,Bagong Barrio Covered Court,0,6,7065657,Bridges,No,3.2,MMDA
41,2006-09-07,2006,September,Caloocan,Baesa,14.691799999999999,121.0013,High,2.75,House-roof level,24,288.0,Scattered Showers,None (Monsoon),None,784,154,73,Camarin Elementary School,3,22,2813616,Roads and Homes,Yes,14.6,LGU Report
42,2014-06-16,2014,June,Parañaque,BF Homes,14.4881,121.0131,Moderate,0.95,Waist-deep,3,394.2,Monsoon Rains,Ondoy,Signal No. 3,948,195,54,Parañaque City Hall Gymnasium,0,2,1297766,Bridges,No,15.4,LGU Report
43,2004-02-03,2004,February,Parañaque,La Huerta,14.492999999999999,120.9985,Moderate,0.76,Waist-deep,28,114.3,Typhoon,Nonoy,Signal No. 3,2930,789,200,Parañaque National High School,0,0,3139012,Roads and Homes,Yes,16.0,DSWD
44,2020-09-21,2020,September,Parañaque,Baclaran,14.523,120.9986,High,1.42,Chest-deep,30,300.2,Continuous Rain,None (Monsoon),None,4447,887,709,La Huerta Elementary School,0,8,4811998,Roads and Homes,Yes,1.2,DSWD
45,2010-09-25,2010,September,Las Piñas,Almanza Dos,14.4616,120.9832,Moderate,1.09,Chest-deep,21,139.9,Heavy Rain,None (Monsoon),None,4712,1091,149,Almanza Elementary School,0,1,9221417,Homes,No,10.3,LGU Report
46,2021-03-07,2021,March,Las Piñas,Pulang Lupa Dos,14.4695,120.9751,Moderate,0.44,Knee-deep,37,253.3,Heavy Rain,None (Monsoon),None,1384,258,105,Almanza Elementary School,0,3,718420,Roads,No,17.6,DSWD
47,2021-12-18,2021,December,Muntinlupa,Tunasan,14.3895,121.0303,Moderate,1.31,Chest-deep,30,355.1,Continuous Rain,Tonyo,Signal No. 2,4612,1107,406,Alabang Covered Court,0,6,5843097,None,No,17.1,LGU Report
48,2017-04-26,2017,April,Muntinlupa,Alabang,14.4249,121.04299999999999,Low,0.49,Knee-deep,11,250.9,Heavy Rain,Ulysses,Signal No. 4,1446,404,43,Alabang Covered Court,0,3,376018,Bridges,Yes,11.5,PAGASA
49,2015-03-09,2015,March,Taguig,Ususan,14.5097,121.0644,High,1.98,Neck-deep,56,319.7,Monsoon Rains,Tonyo,Signal No. 4,5523,1328,539,Taguig City University Gymnasium,0,7,19271943,None,Yes,10.7,NDRRMC
50,2004-07-04,2004,July,Taguig,Pinagsama,14.5251,121.0582,Moderate,0.72,Waist-deep,46,368.5,Continuous Rain,Tonyo,Signal No. 4,2653,738,367,Ususan Elementary School,0,6,3117106,Roads,No,15.1,MMDA
51,2022-04-28,2022,April,Taguig,Lower Bicutan,14.513100000000001,121.05470000000001,Moderate,1.38,Chest-deep,11,152.1,Monsoon Rains,Nonoy,Signal No. 3,2102,524,179,Ususan Elementary School,0,1,4013084,None,No,16.7,LGU Report
52,2013-07-20,2013,July,Malabon,Longos,14.6639,120.9582,Very High,1.3,Chest-deep,110,278.8,Heavy Rain,Ursula,Signal No. 3,7190,1809,2120,Panghulo Elementary School,0,4,4824883,Roads,No,20.1,PAGASA
53,2010-04-28,2010,April,Malabon,Panghulo,14.6669,120.9578,Very High,2.93,House-roof level,102,321.1,Continuous Rain,None (Monsoon),None,1994,420,679,Malabon City Hall Covered Court,0,9,12135997,Bridges,Yes,21.9,PAGASA
54,2018-08-21,2018,August,Malabon,Tañong,14.6587,120.957,Very High,1.2,Chest-deep,45,262.3,Continuous Rain,None (Monsoon),None,6643,1220,2071,Catmon Covered Court,0,7,19408997,Roads,No,23.1,MMDA
55,2010-02-13,2010,February,Malabon,Catmon,14.660699999999999,120.9542,Very High,3.94,House-roof level,113,366.3,Typhoon,Kiko,Signal No. 1,7128,1684,2789,Catmon Covered Court,0,37,35443844,None,Yes,11.6,DSWD
56,2014-09-18,2014,September,Malabon,Hulong Duhat,14.6612,120.9559,High,2.77,House-roof level,34,413.8,Continuous Rain,Marce,Signal No. 1,5505,1069,516,Malabon City Hall Covered Court,0,15,11165832,Roads and Homes,No,9.2,DSWD
57,2018-10-19,2018,October,Malabon,Acacia,14.6635,120.9571,High,1.89,Neck-deep,25,245.7,Scattered Showers,Rolly,Signal No. 1,7453,2015,1276,Longos Elementary School,0,7,31143118,Bridges and Roads,No,1.9,PAGASA
58,2008-07-06,2008,July,Navotas,Bangculasi,14.6623,120.9412,Very High,4.37,House-roof level,128,288.9,Continuous Rain,Tonyo,Signal No. 2,950,198,331,Tangos National High School,5,13,6944488,Bridges,Yes,7.0,MMDA
59,2005-10-30,2005,October,Navotas,Daanghari,14.658900000000001,120.9435,Very High,2.66,House-roof level,56,55.9,Continuous Rain,None (Monsoon),None,1100,309,383,Tangos National High School,0,1,2204790,Roads,No,11.0,PAGASA
60,2023-01-08,2023,January,Navotas,Navotas East,14.658,120.94069999999999,Very High,2.87,House-roof level,127,340.9,Monsoon Rains,None (Monsoon),None,4327,914,936,Navotas City Hall Gymnasium,0,1,31011124,Roads,No,17.2,LGU Report
61,2003-04-19,2003,April,Navotas,Navotas West,14.6564,120.9383,Very High,4.1,House-roof level,94,299.7,Typhoon,Ursula,Signal No. 3,5183,1381,1008,Tangos National High School,0,38,28908879,None,Yes,10.6,MMDA
62,2018-07-24,2018,July,Navotas,North Bay Blvd South,14.6521,120.9382,High,1.22,Chest-deep,64,220.7,Scattered Showers,None (Monsoon),None,3466,939,594,Bangculasi Elementary School,0,10,9919981,Roads,No,2.8,PAGASA
63,2005-11-01,2005,November,Valenzuela,Bisig,14.7011,120.9782,Very High,2.73,House-roof level,162,214.3,Typhoon,None (Monsoon),None,4800,991,1528,Valenzuela City Gymnasium,0,11,9267163,Roads and Homes,Yes,20.4,PAGASA
64,2024-12-13,2024,December,Valenzuela,Lawang Bato,14.7054,120.9763,Very High,1.97,Neck-deep,83,274.4,Monsoon Rains,None (Monsoon),None,4903,1124,1068,Valenzuela National High School Gym,0,17,5336621,Homes,Yes,4.7,PAGASA
65,2015-03-30,2015,March,Valenzuela,Lingunan,14.707600000000001,120.9811,High,1.25,Chest-deep,29,77.8,Heavy Rain,None (Monsoon),None,7325,1521,816,Valenzuela City Gymnasium,0,11,14292589,Bridges,No,7.8,PAGASA
66,2003-10-23,2003,October,Valenzuela,Punturin,14.712200000000001,120.983,High,2.69,House-roof level,25,82.6,Monsoon Rains,Marce,Signal No. 4,1489,413,366,Lingunan Elementary School,0,16,2914476,None,No,12.9,PAGASA
67,2002-01-14,2002,January,Valenzuela,Parada,14.6988,120.9794,High,0.9,Waist-deep,82,134.5,Scattered Showers,Rolly,Signal No. 3,648,157,52,Valenzuela City Gymnasium,0,0,871750,Bridges and Roads,Yes,12.3,PAGASA
68,2003-03-26,2003,March,Marikina,Tumana,14.6556,121.1061,Very High,2.09,House-roof level,22,394.8,Typhoon,Quedan,Signal No. 4,3773,706,587,Calumpang Elementary School,0,0,19180855,Roads and Homes,No,2.6,NDRRMC
69,2010-11-30,2010,November,Marikina,Calumpang,14.6475,121.1039,Very High,2.24,House-roof level,114,348.3,Monsoon Rains,Pepito,Signal No. 1,4492,857,779,Marikina Sports Center,0,6,23261973,None,Yes,6.1,MMDA
70,2011-06-25,2011,June,Marikina,Concepcion Dos,14.661399999999999,121.1093,Very High,1.29,Chest-deep,166,120.9,Typhoon,None (Monsoon),None,1452,301,548,Marikina City Hall Gymnasium,0,12,3048383,Bridges and Roads,No,20.8,PAGASA
71,2006-10-09,2006,October,Marikina,Industrial Valley,14.6541,121.1115,High,1.49,Chest-deep,66,286.6,Typhoon,Ulysses,Signal No. 3,3822,750,836,Marikina City Hall Gymnasium,0,0,3495342,Roads,No,11.4,DSWD
72,2001-11-03,2001,November,Marikina,Nangka,14.669,121.1081,High,1.51,Neck-deep,79,250.5,Typhoon,None (Monsoon),None,5539,1176,672,Marikina Sports Center,0,10,20615074,Roads,Yes,17.1,LGU Report
73,2023-07-05,2023,July,Marikina,Fortune,14.671899999999999,121.1105,High,1.71,Neck-deep,26,213.5,Scattered Showers,Quedan,Signal No. 1,3181,782,515,Marikina Sports Center,0,17,10099857,None,Yes,8.3,DSWD
74,2006-05-06,2006,May,Pasig,Pinagbuhatan,14.5619,121.1039,Very High,4.17,House-roof level,91,288.0,Scattered Showers,None (Monsoon),None,5574,1301,2004,Ugong Elementary School,0,8,42773598,None,Yes,15.7,LGU Report
75,2022-10-23,2022,October,Pasig,Bambang,14.559,121.0994,Very High,1.95,Neck-deep,104,429.1,Continuous Rain,Queenie,Signal No. 2,2730,694,557,Pasig City Hall Gymnasium,0,3,8067122,Bridges and Roads,Yes,16.1,DSWD
76,2005-11-17,2005,November,Pasig,Ugong,14.5647,121.0717,High,1.91,Neck-deep,25,299.9,Typhoon,None (Monsoon),None,1529,312,183,Pasig City Hall Gymnasium,0,7,7123348,Roads and Homes,Yes,13.0,PAGASA
77,2021-01-14,2021,January,Pasig,Dela Paz,14.573599999999999,121.083,High,2.74,House-roof level,30,226.2,Typhoon,None (Monsoon),None,3213,692,736,Ugong Elementary School,0,26,7917935,Roads,No,21.0,DSWD
78,2004-08-07,2004,August,Pasig,Palatiw,14.5631,121.10210000000001,High,2.22,House-roof level,72,114.1,Typhoon,Kiko,Signal No. 2,7172,1955,770,Pasig City Hall Gymnasium,0,7,33967757,Roads and Homes,Yes,9.8,PAGASA
79,2010-07-29,2010,July,Quezon City,Batasan Hills,14.6899,121.1133,High,1.34,Chest-deep,16,89.6,Scattered Showers,None (Monsoon),None,3271,790,423,Batasan Hills National High School Gym,0,2,2527346,Bridges,No,11.0,NDRRMC
80,2003-07-22,2003,July,Quezon City,Commonwealth,14.6815,121.10910000000001,High,0.35,Knee-deep,33,293.6,Scattered Showers,Rolly,Signal No. 2,7040,1308,794,Quezon City Reception Area,0,0,2407029,Roads,Yes,20.2,LGU Report
81,2024-01-17,2024,January,Quezon City,Payatas,14.7237,121.1178,High,0.34,Knee-deep,71,221.7,Continuous Rain,None (Monsoon),None,4910,1296,654,QC Sports Club,0,3,1460103,Homes,Yes,22.9,DSWD
82,2022-10-04,2022,October,Quezon City,Bagong Silangan,14.7007,121.1315,Moderate,1.2,Chest-deep,34,67.4,Heavy Rain,Tonyo,Signal No. 3,4739,903,153,Commonwealth Elementary School,0,12,3611795,Roads,No,3.6,PAGASA
83,2024-06-28,2024,June,Quezon City,Novaliches Proper,14.733600000000001,121.02279999999999,Moderate,0.57,Waist-deep,43,442.3,Heavy Rain,Pepito,Signal No. 2,1634,335,211,Payatas Elementary School Covered Court,0,0,1012303,Roads,No,22.4,DSWD
84,2017-11-11,2017,November,Manila,Tondo,14.6198,120.967,Very High,4.46,House-roof level,151,126.4,Scattered Showers,Ondoy,Signal No. 3,4078,814,921,Tondo Sports Complex,0,25,36132322,Bridges,No,16.8,PAGASA
85,2023-04-17,2023,April,Manila,Binondo,14.5986,120.9744,High,1.02,Chest-deep,16,448.0,Heavy Rain,Rolly,Signal No. 3,6156,1411,1067,Tondo Sports Complex,0,5,11439542,Roads and Homes,Yes,16.7,PAGASA
86,2020-01-21,2020,January,Manila,Pandacan,14.5881,121.0038,Very High,0.67,Waist-deep,102,442.0,Heavy Rain,None (Monsoon),None,5236,1293,2353,Manila City Hall Gymnasium,0,2,5353994,Roads,Yes,20.4,LGU Report
87,2001-07-24,2001,July,Manila,Sta. Ana,14.5746,121.009,High,0.64,Waist-deep,36,429.8,Scattered Showers,Pepito,Signal No. 4,6577,1556,1459,Sta. Ana Covered Court,0,3,8528712,Roads and Homes,No,15.8,MMDA
88,2005-02-01,2005,February,Manila,San Andres Bukid,14.5822,120.9983,High,0.37,Knee-deep,29,97.1,Typhoon,None (Monsoon),None,4288,804,831,Pandacan Elementary School,0,2,2995363,Bridges,Yes,11.1,LGU Report
89,2003-12-09,2003,December,Caloocan,Bagong Barrio,14.6722,120.9884,High,2.49,House-roof level,46,266.9,Continuous Rain,None (Monsoon),None,5670,1562,886,Grace Park Elementary School,0,16,13390970,Bridges,No,1.1,DSWD
90,2016-07-19,2016,July,Caloocan,Grace Park,14.658,120.9843,High,1.56,Neck-deep,76,173.7,Typhoon,None (Monsoon),None,1263,343,271,Baesa National High School,0,13,4229558,None,Yes,11.1,DSWD
91,2015-06-15,2015,June,Caloocan,Camarin,14.7341,121.0127,Moderate,0.28,Knee-deep,37,101.6,Monsoon Rains,Ondoy,Signal No. 1,5441,1080,547,Grace Park Elementary School,0,1,1263443,Homes,No,20.4,PAGASA
92,2008-10-21,2008,October,Caloocan,Baesa,14.6931,121.0003,High,2.01,House-roof level,76,263.4,Continuous Rain,Pepito,Signal No. 2,2448,596,263,Baesa National High School,0,19,5782740,Roads,Yes,1.6,DSWD
93,2011-11-15,2011,November,Parañaque,BF Homes,14.4877,121.0127,Moderate,1.01,Chest-deep,38,405.6,Typhoon,Tisoy,Signal No. 3,3612,1014,376,Baclaran Elementary School,0,10,4787008,Bridges,No,10.3,LGU Report
94,2009-02-24,2009,February,Parañaque,La Huerta,14.492899999999999,120.99810000000001,Moderate,0.58,Waist-deep,11,445.2,Scattered Showers,Marce,Signal No. 2,2760,666,368,Parañaque National High School,0,4,1140358,Roads and Homes,Yes,3.8,NDRRMC
95,2013-01-06,2013,January,Parañaque,Baclaran,14.5234,120.997,High,2.85,House-roof level,84,113.9,Continuous Rain,Quedan,Signal No. 3,3625,693,487,Baclaran Elementary School,0,15,23329525,Roads and Homes,No,23.2,MMDA
96,2015-10-30,2015,October,Las Piñas,Almanza Dos,14.462800000000001,120.982,Moderate,0.17,Knee-deep,20,319.0,Typhoon,Ondoy,Signal No. 1,4254,820,432,Las Piñas City Hall Gymnasium,0,1,1413828,Roads and Homes,Yes,13.9,MMDA
97,2016-04-05,2016,April,Las Piñas,Pulang Lupa Dos,14.4687,120.9762,Moderate,0.87,Waist-deep,6,161.9,Monsoon Rains,None (Monsoon),None,3364,668,304,Las Piñas City Hall Gymnasium,0,2,7170850,Homes,No,18.2,MMDA
98,2022-11-02,2022,November,Muntinlupa,Tunasan,14.389899999999999,121.0317,Moderate,0.66,Waist-deep,4,371.6,Scattered Showers,Pepito,Signal No. 2,571,115,19,Alabang Covered Court,0,2,310911,Homes,No,12.4,DSWD
99,2023-11-17,2023,November,Muntinlupa,Alabang,14.425899999999999,121.0432,Low,0.27,Knee-deep,10,182.5,Heavy Rain,Marce,Signal No. 3,2655,751,76,Alabang Covered Court,0,1,739115,Bridges and Roads,Yes,17.5,DSWD
100,2021-07-20,2021,July,Taguig,Ususan,14.5085,121.0627,High,0.76,Waist-deep,86,109.1,Heavy Rain,None (Monsoon),None,6107,1178,1321,Taguig City University Gymnasium,0,3,2496448,None,Yes,10.1,DSWD
101,2021-02-25,2021,February,Taguig,Pinagsama,14.5244,121.059,Moderate,1.32,Chest-deep,48,274.4,Typhoon,None (Monsoon),None,710,156,81,Pinagsama Covered Court,0,5,2261811,Bridges and Roads,No,16.4,PAGASA
102,2021-09-19,2021,September,Taguig,Lower Bicutan,14.5143,121.05510000000001,Moderate,0.37,Knee-deep,17,439.2,Typhoon,Rolly,Signal No. 2,2485,629,240,Lower Bicutan Covered Court,0,3,1101139,Homes,No,3.4,DSWD
103,2017-01-11,2017,January,Malabon,Longos,14.6633,120.9585,Very High,4.08,House-roof level,113,108.6,Scattered Showers,Ursula,Signal No. 1,6904,1368,1750,Panghulo Elementary School,0,13,25467992,None,No,3.7,DSWD
104,2010-09-25,2010,September,Malabon,Panghulo,14.6688,120.9574,Very High,1.47,Chest-deep,147,215.3,Heavy Rain,None (Monsoon),None,2048,568,699,Longos Elementary School,0,0,7312763,None,No,11.7,MMDA
105,2012-11-19,2012,November,Malabon,Tañong,14.6582,120.957,Very High,1.78,Neck-deep,27,142.9,Heavy Rain,None (Monsoon),None,7637,1589,2906,Longos Elementary School,0,5,32188156,Roads and Homes,Yes,22.5,PAGASA
106,2001-09-05,2001,September,Malabon,Catmon,14.659699999999999,120.9545,Very High,0.54,Waist-deep,157,163.8,Monsoon Rains,None (Monsoon),None,5137,939,935,Malabon National High School,0,3,6320568,Homes,Yes,19.5,PAGASA
107,2007-04-16,2007,April,Malabon,Hulong Duhat,14.6617,120.955,High,2.27,House-roof level,88,184.8,Continuous Rain,Tisoy,Signal No. 2,2307,653,549,Malabon National High School,0,12,11280154,None,Yes,4.8,MMDA
108,2021-06-01,2021,June,Malabon,Acacia,14.6638,120.9564,High,1.17,Chest-deep,37,351.5,Scattered Showers,None (Monsoon),None,255,64,35,Malabon National High School,0,11,491010,Bridges,Yes,16.2,LGU Report
109,2013-10-05,2013,October,Navotas,Bangculasi,14.6617,120.9416,Very High,1.14,Chest-deep,140,174.4,Monsoon Rains,Rolly,Signal No. 3,7762,1581,3248,Bangculasi Elementary School,0,3,21367094,Bridges and Roads,No,10.3,DSWD
110,2021-02-13,2021,February,Navotas,Daanghari,14.6592,120.9436,Very High,3.53,House-roof level,67,399.3,Heavy Rain,Nonoy,Signal No. 3,6441,1285,1444,Tangos National High School,5,32,20561133,Bridges and Roads,No,3.2,MMDA
111,2021-12-04,2021,December,Navotas,Navotas East,14.6563,120.94019999999999,Very High,0.86,Waist-deep,142,255.3,Scattered Showers,Ondoy,Signal No. 4,3849,873,1511,Navotas Sports Complex,0,6,3339648,Roads,Yes,10.5,NDRRMC
112,2024-04-10,2024,April,Navotas,Navotas West,14.6562,120.93939999999999,Very High,4.48,House-roof level,29,122.0,Scattered Showers,Tisoy,Signal No. 4,7849,1926,2288,North Bay Blvd Evacuation Center,0,24,43999798,Bridges and Roads,Yes,15.9,PAGASA
